"timestamp","t_sec","pid","process","dedicated_mib","is_game_match"
"2026-09-20 19:40:23.520","0.01","26820","llama-server","7217.5","False"
"2026-09-20 19:40:23.520","0.01","20224","Client-Win64-Shipping","3062","True"
"2026-09-20 19:40:23.520","0.01","2272","dwm","492.1","False"
"2026-09-20 19:40:23.520","0.01","14604","obs64","123","False"
"2026-09-20 19:40:23.520","0.01","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:23.520","0.01","2656","DSH Desktop","95.8","False"
"2026-09-20 19:40:23.520","0.01","1068","csrss","84.2","False"
"2026-09-20 19:40:23.520","0.01","25848","chrome","56.7","False"
"2026-09-20 19:40:23.520","0.01","21436","QQ","55.5","False"
"2026-09-20 19:40:23.520","0.01","25940","WindowsTerminal","55","False"
"2026-09-20 19:40:23.520","0.01","24348","bililive_browser","49.5","False"
"2026-09-20 19:40:23.520","0.01","17700","livehime","48.8","False"
"2026-09-20 19:40:23.520","0.01","2708","HipsDaemon","45.8","False"
"2026-09-20 19:40:23.520","0.01","12784","explorer","39.1","False"
"2026-09-20 19:40:23.520","0.01","23272","SystemSettings","32.3","False"
"2026-09-20 19:40:23.520","0.01","15204","launcher_main","26.6","False"
"2026-09-20 19:40:23.520","0.01","16008","SearchApp","24.5","False"
"2026-09-20 19:40:23.520","0.01","3696","TextInputHost","15.4","False"
"2026-09-20 19:40:23.520","0.01","18164","LockApp","12.3","False"
"2026-09-20 19:40:23.520","0.01","18564","Video.UI","10.9","False"
"2026-09-20 19:40:23.520","0.01","22644","WeChatAppEx","10.6","False"
"2026-09-20 19:40:23.520","0.01","25340","chrome","9.7","False"
"2026-09-20 19:40:23.520","0.01","4","System","4","False"
"2026-09-20 19:40:25.058","1.54","26820","llama-server","7217.5","False"
"2026-09-20 19:40:25.058","1.54","20224","Client-Win64-Shipping","3299.8","True"
"2026-09-20 19:40:25.058","1.54","2272","dwm","492.1","False"
"2026-09-20 19:40:25.058","1.54","14604","obs64","123","False"
"2026-09-20 19:40:25.058","1.54","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:25.058","1.54","2656","DSH Desktop","95.8","False"
"2026-09-20 19:40:25.058","1.54","1068","csrss","84.2","False"
"2026-09-20 19:40:25.058","1.54","25848","chrome","56.7","False"
"2026-09-20 19:40:25.058","1.54","21436","QQ","55.5","False"
"2026-09-20 19:40:25.058","1.54","25940","WindowsTerminal","55","False"
"2026-09-20 19:40:25.058","1.54","24348","bililive_browser","49.5","False"
"2026-09-20 19:40:25.058","1.54","17700","livehime","48.8","False"
"2026-09-20 19:40:25.058","1.54","2708","HipsDaemon","45.8","False"
"2026-09-20 19:40:25.058","1.54","12784","explorer","39.1","False"
"2026-09-20 19:40:25.058","1.54","23272","SystemSettings","32.3","False"
"2026-09-20 19:40:25.058","1.54","15204","launcher_main","26.6","False"
"2026-09-20 19:40:25.058","1.54","16008","SearchApp","24.5","False"
"2026-09-20 19:40:25.058","1.54","3696","TextInputHost","15.4","False"
"2026-09-20 19:40:25.058","1.54","18164","LockApp","12.3","False"
"2026-09-20 19:40:25.058","1.54","18564","Video.UI","10.9","False"
"2026-09-20 19:40:25.058","1.54","22644","WeChatAppEx","10.6","False"
"2026-09-20 19:40:25.058","1.54","25340","chrome","9.7","False"
"2026-09-20 19:40:25.058","1.54","4","System","4","False"
"2026-09-20 19:40:26.524","3.01","26820","llama-server","7217.5","False"
"2026-09-20 19:40:26.524","3.01","20224","Client-Win64-Shipping","3299.9","True"
"2026-09-20 19:40:26.524","3.01","2272","dwm","492.1","False"
"2026-09-20 19:40:26.524","3.01","14604","obs64","123","False"
"2026-09-20 19:40:26.524","3.01","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:26.524","3.01","2656","DSH Desktop","95.8","False"
"2026-09-20 19:40:26.524","3.01","1068","csrss","84.2","False"
"2026-09-20 19:40:26.524","3.01","21436","QQ","55.5","False"
"2026-09-20 19:40:26.524","3.01","25940","WindowsTerminal","55","False"
"2026-09-20 19:40:26.524","3.01","25848","chrome","54.4","False"
"2026-09-20 19:40:26.524","3.01","24348","bililive_browser","49.5","False"
"2026-09-20 19:40:26.524","3.01","17700","livehime","48.8","False"
"2026-09-20 19:40:26.524","3.01","2708","HipsDaemon","45.8","False"
"2026-09-20 19:40:26.524","3.01","12784","explorer","39.1","False"
"2026-09-20 19:40:26.524","3.01","23272","SystemSettings","32.3","False"
"2026-09-20 19:40:26.524","3.01","15204","launcher_main","26.6","False"
"2026-09-20 19:40:26.524","3.01","16008","SearchApp","24.5","False"
"2026-09-20 19:40:26.524","3.01","3696","TextInputHost","15.4","False"
"2026-09-20 19:40:26.524","3.01","18164","LockApp","12.3","False"
"2026-09-20 19:40:26.524","3.01","18564","Video.UI","10.9","False"
"2026-09-20 19:40:26.524","3.01","22644","WeChatAppEx","10.6","False"
"2026-09-20 19:40:26.524","3.01","25340","chrome","9.7","False"
"2026-09-20 19:40:26.524","3.01","4","System","4","False"
"2026-09-20 19:40:27.977","4.46","26820","llama-server","7217.5","False"
"2026-09-20 19:40:27.977","4.46","20224","Client-Win64-Shipping","3299.9","True"
"2026-09-20 19:40:27.977","4.46","2272","dwm","492.1","False"
"2026-09-20 19:40:27.977","4.46","14604","obs64","123","False"
"2026-09-20 19:40:27.977","4.46","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:27.977","4.46","2656","DSH Desktop","95.8","False"
"2026-09-20 19:40:27.977","4.46","1068","csrss","84.2","False"
"2026-09-20 19:40:27.977","4.46","21436","QQ","55.5","False"
"2026-09-20 19:40:27.977","4.46","25940","WindowsTerminal","55","False"
"2026-09-20 19:40:27.977","4.46","25848","chrome","54.4","False"
"2026-09-20 19:40:27.977","4.46","24348","bililive_browser","49.5","False"
"2026-09-20 19:40:27.977","4.46","17700","livehime","48.8","False"
"2026-09-20 19:40:27.977","4.46","2708","HipsDaemon","45.8","False"
"2026-09-20 19:40:27.977","4.46","12784","explorer","39.1","False"
"2026-09-20 19:40:27.977","4.46","23272","SystemSettings","32.3","False"
"2026-09-20 19:40:27.977","4.46","15204","launcher_main","26.6","False"
"2026-09-20 19:40:27.977","4.46","16008","SearchApp","24.5","False"
"2026-09-20 19:40:27.977","4.46","3696","TextInputHost","15.4","False"
"2026-09-20 19:40:27.977","4.46","18164","LockApp","12.3","False"
"2026-09-20 19:40:27.977","4.46","18564","Video.UI","10.9","False"
"2026-09-20 19:40:27.977","4.46","22644","WeChatAppEx","10.6","False"
"2026-09-20 19:40:27.977","4.46","25340","chrome","9.7","False"
"2026-09-20 19:40:27.977","4.46","4","System","4","False"
"2026-09-20 19:40:29.445","5.93","26820","llama-server","7217.5","False"
"2026-09-20 19:40:29.445","5.93","20224","Client-Win64-Shipping","3303.9","True"
"2026-09-20 19:40:29.445","5.93","2272","dwm","492.1","False"
"2026-09-20 19:40:29.445","5.93","14604","obs64","123","False"
"2026-09-20 19:40:29.445","5.93","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:29.445","5.93","2656","DSH Desktop","95.8","False"
"2026-09-20 19:40:29.445","5.93","1068","csrss","84.2","False"
"2026-09-20 19:40:29.445","5.93","21436","QQ","55.5","False"
"2026-09-20 19:40:29.445","5.93","25940","WindowsTerminal","55","False"
"2026-09-20 19:40:29.445","5.93","25848","chrome","54.4","False"
"2026-09-20 19:40:29.445","5.93","24348","bililive_browser","49.5","False"
"2026-09-20 19:40:29.445","5.93","17700","livehime","48.8","False"
"2026-09-20 19:40:29.445","5.93","2708","HipsDaemon","45.8","False"
"2026-09-20 19:40:29.445","5.93","12784","explorer","39.1","False"
"2026-09-20 19:40:29.445","5.93","23272","SystemSettings","32.3","False"
"2026-09-20 19:40:29.445","5.93","15204","launcher_main","26.6","False"
"2026-09-20 19:40:29.445","5.93","16008","SearchApp","24.5","False"
"2026-09-20 19:40:29.445","5.93","3696","TextInputHost","15.4","False"
"2026-09-20 19:40:29.445","5.93","18164","LockApp","12.3","False"
"2026-09-20 19:40:29.445","5.93","18564","Video.UI","10.9","False"
"2026-09-20 19:40:29.445","5.93","22644","WeChatAppEx","10.6","False"
"2026-09-20 19:40:29.445","5.93","25340","chrome","9.7","False"
"2026-09-20 19:40:29.445","5.93","4","System","4","False"
"2026-09-20 19:40:30.909","7.4","26820","llama-server","7217.5","False"
"2026-09-20 19:40:30.909","7.4","20224","Client-Win64-Shipping","3303.9","True"
"2026-09-20 19:40:30.909","7.4","2272","dwm","492.1","False"
"2026-09-20 19:40:30.909","7.4","14604","obs64","123","False"
"2026-09-20 19:40:30.909","7.4","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:30.909","7.4","2656","DSH Desktop","95.8","False"
"2026-09-20 19:40:30.909","7.4","1068","csrss","84.2","False"
"2026-09-20 19:40:30.909","7.4","21436","QQ","55.5","False"
"2026-09-20 19:40:30.909","7.4","25940","WindowsTerminal","55","False"
"2026-09-20 19:40:30.909","7.4","25848","chrome","54.4","False"
"2026-09-20 19:40:30.909","7.4","24348","bililive_browser","49.5","False"
"2026-09-20 19:40:30.909","7.4","17700","livehime","48.8","False"
"2026-09-20 19:40:30.909","7.4","2708","HipsDaemon","45.8","False"
"2026-09-20 19:40:30.909","7.4","12784","explorer","39.1","False"
"2026-09-20 19:40:30.909","7.4","23272","SystemSettings","32.3","False"
"2026-09-20 19:40:30.909","7.4","15204","launcher_main","26.6","False"
"2026-09-20 19:40:30.909","7.4","16008","SearchApp","24.5","False"
"2026-09-20 19:40:30.909","7.4","3696","TextInputHost","15.4","False"
"2026-09-20 19:40:30.909","7.4","18164","LockApp","12.3","False"
"2026-09-20 19:40:30.909","7.4","18564","Video.UI","10.9","False"
"2026-09-20 19:40:30.909","7.4","22644","WeChatAppEx","10.6","False"
"2026-09-20 19:40:30.909","7.4","25340","chrome","9.7","False"
"2026-09-20 19:40:30.909","7.4","4","System","4","False"
"2026-09-20 19:40:32.357","8.84","26820","llama-server","7217.5","False"
"2026-09-20 19:40:32.357","8.84","20224","Client-Win64-Shipping","3303.9","True"
"2026-09-20 19:40:32.357","8.84","2272","dwm","492.1","False"
"2026-09-20 19:40:32.357","8.84","14604","obs64","123","False"
"2026-09-20 19:40:32.357","8.84","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:32.357","8.84","2656","DSH Desktop","95.8","False"
"2026-09-20 19:40:32.357","8.84","1068","csrss","84.2","False"
"2026-09-20 19:40:32.357","8.84","21436","QQ","55.5","False"
"2026-09-20 19:40:32.357","8.84","25940","WindowsTerminal","55","False"
"2026-09-20 19:40:32.357","8.84","25848","chrome","54.4","False"
"2026-09-20 19:40:32.357","8.84","24348","bililive_browser","49.5","False"
"2026-09-20 19:40:32.357","8.84","17700","livehime","48.8","False"
"2026-09-20 19:40:32.357","8.84","2708","HipsDaemon","45.8","False"
"2026-09-20 19:40:32.357","8.84","12784","explorer","39.1","False"
"2026-09-20 19:40:32.357","8.84","23272","SystemSettings","32.3","False"
"2026-09-20 19:40:32.357","8.84","15204","launcher_main","26.6","False"
"2026-09-20 19:40:32.357","8.84","16008","SearchApp","24.5","False"
"2026-09-20 19:40:32.357","8.84","3696","TextInputHost","15.4","False"
"2026-09-20 19:40:32.357","8.84","18164","LockApp","12.3","False"
"2026-09-20 19:40:32.357","8.84","18564","Video.UI","10.9","False"
"2026-09-20 19:40:32.357","8.84","22644","WeChatAppEx","10.6","False"
"2026-09-20 19:40:32.357","8.84","25340","chrome","9.7","False"
"2026-09-20 19:40:32.357","8.84","4","System","4","False"
"2026-09-20 19:40:33.806","10.29","26820","llama-server","7217.5","False"
"2026-09-20 19:40:33.806","10.29","20224","Client-Win64-Shipping","3303.9","True"
"2026-09-20 19:40:33.806","10.29","2272","dwm","492.1","False"
"2026-09-20 19:40:33.806","10.29","14604","obs64","123","False"
"2026-09-20 19:40:33.806","10.29","22572","msedgewebview2","97.7","False"
"2026-09-20 19:40:33.806","10.29","2656","DSH Desktop","95.8","False"
