"timestamp","t_sec","pid","process","dedicated_mib","is_game_match"
"2026-09-20 17:09:22.597","0.01","20584","llama-server","7217.5","False"
"2026-09-20 17:09:22.597","0.01","8292","Client-Win64-Shipping","3442.4","False"
"2026-09-20 17:09:22.597","0.01","1572","dwm","331.7","False"
"2026-09-20 17:09:22.597","0.01","12436","DSH Desktop","220.2","False"
"2026-09-20 17:09:22.597","0.01","22424","chrome","104.9","False"
"2026-09-20 17:09:22.597","0.01","22232","msedgewebview2","93","False"
"2026-09-20 17:09:22.597","0.01","1064","csrss","76.1","False"
"2026-09-20 17:09:22.597","0.01","2044","msedgewebview2","59.7","False"
"2026-09-20 17:09:22.597","0.01","14844","WindowsTerminal","55.3","False"
"2026-09-20 17:09:22.597","0.01","2268","HipsDaemon","45.8","False"
"2026-09-20 17:09:22.597","0.01","6380","explorer","45.8","False"
"2026-09-20 17:09:22.597","0.01","5036","launcher_main","26.6","False"
"2026-09-20 17:09:22.597","0.01","7552","chrome","24.8","False"
"2026-09-20 17:09:22.597","0.01","16592","SearchApp","24","False"
"2026-09-20 17:09:22.597","0.01","13376","TextInputHost","15.3","False"
"2026-09-20 17:09:22.597","0.01","1976","DSH Desktop","10.6","False"
"2026-09-20 17:09:22.597","0.01","13564","chrome","9.7","False"
"2026-09-20 17:09:22.597","0.01","4","System","4","False"
"2026-09-20 17:09:23.846","1.25","20584","llama-server","7217.5","False"
"2026-09-20 17:09:23.846","1.25","8292","Client-Win64-Shipping","3442.4","False"
"2026-09-20 17:09:23.846","1.25","1572","dwm","331.7","False"
"2026-09-20 17:09:23.846","1.25","12436","DSH Desktop","220.2","False"
"2026-09-20 17:09:23.846","1.25","22424","chrome","104.9","False"
"2026-09-20 17:09:23.846","1.25","22232","msedgewebview2","93","False"
"2026-09-20 17:09:23.846","1.25","1064","csrss","76.1","False"
"2026-09-20 17:09:23.846","1.25","2044","msedgewebview2","59.7","False"
"2026-09-20 17:09:23.846","1.25","14844","WindowsTerminal","55.3","False"
"2026-09-20 17:09:23.846","1.25","2268","HipsDaemon","45.8","False"
