"timestamp","t_sec","gpu_used_mib","gpu_free_mib","gpu_total_mib","gpu_util_pct","temp_c","power_w","proc_sum_mib","game_sum_mib","game_pids","top_process","top_mib"
"2026-09-20 17:09:22.597","0.01","11585","4466","16311","5","42","33.66","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:23.846","1.25","11585","4466","16311","0","40","38.07","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:25.020","2.43","11585","4466","16311","1","41","39.53","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:26.224","3.63","11585","4466","16311","15","43","37.44","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:27.404","4.81","11585","4466","16311","0","41","30.01","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:28.551","5.96","11585","4466","16311","0","40","34.66","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:29.720","7.13","11585","4466","16311","12","44","32.35","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:30.867","8.27","11585","4466","16311","0","40","33.75","11807.4","0","","llama-server","7217.5"
"2026-09-20 17:09:32.015","9.42","11585","4466","16311","0","40","24.03","11806.6","0","","llama-server","7217.5"
"2026-09-20 17:09:33.207","10.61","11584","4467","16311","0","39","24.2","11806.6","0","","llama-server","7217.5"
"2026-09-20 17:09:34.413","11.82","11599","4452","16311","0","39","23.97","11806.6","0","","llama-server","7217.5"
"2026-09-20 17:09:35.601","13.01","11599","4452","16311","0","40","37.19","11821.6","0","","llama-server","7217.5"
"2026-09-20 17:09:36.790","14.2","11599","4452","16311","15","43","36.69","11821.6","0","","llama-server","7217.5"
"2026-09-20 17:09:38.013","15.42","11599","4452","16311","15","43","36.38","11821.6","0","","llama-server","7217.5"
"2026-09-20 17:09:39.215","16.62","11599","4452","16311","15","43","42.48","11821.6","0","","llama-server","7217.5"
"2026-09-20 17:09:40.420","17.83","11599","4452","16311","15","43","42.54","11821.6","0","","llama-server","7217.5"
"2026-09-20 17:09:41.661","19.07","11599","4452","16311","15","43","42.58","11821.6","0","","llama-server","7217.5"
"2026-09-20 17:09:42.880","20.29","11599","4452","16311","15","43","42.53","11821.6","0","","llama-server","7217.5"
"2026-09-20 17:09:44.039","21.45","11599","4452","16311","0","40","32.91","11821.4","0","","llama-server","7217.5"
"2026-09-20 17:09:45.264","22.67","11599","4452","16311","13","42","29.5","11836.8","0","","llama-server","7217.5"
"2026-09-20 17:09:46.466","23.87","11599","4452","16311","16","43","34.44","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:47.634","25.04","11599","4452","16311","5","42","35.15","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:48.802","26.21","11599","4452","16311","13","41","40.94","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:49.966","27.37","11599","4452","16311","14","43","34.1","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:51.162","28.57","11599","4452","16311","15","44","34.49","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:52.368","29.78","11599","4452","16311","10","42","33.66","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:53.552","30.96","11599","4452","16311","5","42","34.77","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:54.753","32.16","11599","4452","16311","0","40","36.66","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:55.921","33.33","11599","4452","16311","15","43","38.62","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:57.104","34.51","11599","4452","16311","15","42","39.24","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:58.326","35.73","11614","4437","16311","13","43","34.8","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:09:59.529","36.94","11599","4452","16311","13","42","33.37","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:00.707","38.11","11599","4452","16311","1","42","35.23","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:01.924","39.33","11599","4452","16311","16","43","40.04","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:03.120","40.53","11599","4452","16311","15","43","42.34","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:04.362","41.77","11599","4452","16311","16","43","42.71","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:05.562","42.97","11599","4452","16311","13","43","42.64","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:06.753","44.16","11599","4452","16311","14","43","42.71","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:07.973","45.38","11599","4452","16311","0","39","29.08","11821.5","0","","llama-server","7217.5"
"2026-09-20 17:10:09.129","46.54","11599","4452","16311","6","40","38.47","11806.5","0","","llama-server","7217.5"
"2026-09-20 17:10:10.328","47.74","11584","4467","16311","13","43","35.4","11806.5","0","","llama-server","7217.5"
"2026-09-20 17:10:11.554","48.96","11584","4467","16311","15","44","35.62","11806.5","0","","llama-server","7217.5"
"2026-09-20 17:10:12.767","50.18","11584","4467","16311","11","42","32.81","11806.8","0","","llama-server","7217.5"
"2026-09-20 17:10:13.948","51.36","11584","4467","16311","2","40","37.77","11808.2","0","","llama-server","7217.5"
"2026-09-20 17:10:15.151","52.56","11586","4465","16311","0","40","37.24","11849.4","0","","llama-server","7217.5"
"2026-09-20 17:10:16.313","53.72","11627","4424","16311","73","53","65.36","11849.4","0","","llama-server","7217.5"
"2026-09-20 17:10:17.738","55.15","11627","4424","16311","82","59","99.08","11849.4","0","","llama-server","7217.5"
"2026-09-20 17:10:19.084","56.49","11627","4424","16311","70","57","91.89","11849.5","0","","llama-server","7217.5"
"2026-09-20 17:10:20.506","57.91","11627","4424","16311","71","53","71.55","11849.5","0","","llama-server","7217.5"
"2026-09-20 17:10:21.675","59.08","11627","4424","16311","2","43","82.63","11849.5","0","","llama-server","7217.5"
